candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_contrast,S_total,valid_ea_flag,optimization_k_label,optimization_strategy,optimization_lattice,candidate_source
1137,hex,1.0,0.2,5.0,1,K,0.3333333333333333,0.3333333333333333,0.3805526556294677,23.725532258355315,0.0,23.725532258355315,47.45106451671063,562.9008809422587,-0.25652429747531547,0.0,0.25652429747531547,0.029034009577155923,0.09656057530590328,0.1921207143884314,0.09656057530590328,1.0,0.49125098029260444,0.019356006384770617,0.9382581872110108,0.36363636363636365,0.8038999620008074,False,,,,grid
1523,hex,1.0,0.25,9.0,3,K,0.3333333333333333,0.3333333333333333,0.4235410508251602,5.075292664910766,0.0,5.075292664910766,10.150585329821531,25.758595634497023,0.039911086732333755,-0.0,0.039911086732333755,0.06277467203980584,0.0846371933582209,0.04434526123367871,0.04434526123367871,1.0,0.3072166058980539,0.04184978135987056,0.998409638434582,0.7272727272727273,0.8036868343558732,False,,,,grid
1936,hex,1.0,0.35,6.0,0,K,0.3333333333333333,0.3333333333333333,0.21190705685964667,24.49572402045165,0.0,24.49572402045165,48.9914480409033,600.040495286132,0.3100264385095805,-0.0,0.3100264385095805,0.02857392218037556,0.25400903511328005,0.1,0.1,1.0,0.5,0.019049281453583707,0.9123118737881992,0.45454545454545453,0.8036626333923602,False,,,,grid
1930,hex,1.0,0.35,6.0,2,M,0.5,0.0,0.5474867430398714,2.030922870126734,0.0,2.030922870126734,4.061845740253468,4.124647704403811,-0.03514457978527674,-0.03514457978527687,0.04970194137624177,0.09923577888242001,0.05573417223817123,0.14020642666443262,0.05573417223817123,1.0,0.35788017130199573,0.06615718592161333,0.9975358042841603,0.45454545454545453,0.8036108359469539,False,,,,grid
710,square,1.0,0.3,8.0,6,Γ,0.0,0.0,0.6351779757467342,1.5688407544387613,0.0,1.5688407544387613,3.1376815088775225,2.4612613127879817,2.3442246392985172e-17,-0.01689191873922804,0.01689191873922804,0.11290822148343913,0.047603862174090184,0.04335442400264944,0.04335442400264944,1.0,0.3024282250392787,0.07527214765562608,0.9997147444752399,0.6363636363636364,0.8035233350931915,False,,,,grid
734,square,1.0,0.3,8.0,6,Γ,0.0,0.0,0.6351779757467342,1.5688407544387613,0.0,1.5688407544387613,3.1376815088775225,2.4612613127879817,2.3442246392985172e-17,-0.01689191873922804,0.01689191873922804,0.11290822148343913,0.047603862174090184,0.04335442400264944,0.04335442400264944,1.0,0.3024282250392787,0.07527214765562608,0.9997147444752399,0.6363636363636364,0.8035233350931915,False,,,,grid
1649,hex,1.0,0.3,5.0,1,K,0.3333333333333333,0.3333333333333333,0.4430031624884046,24.11517934533448,0.0,24.11517934533448,48.23035869066896,581.5418748576467,-0.2609340428179283,0.0,0.2609340428179283,0.028798492181960674,0.09682118040669702,0.23228169858956516,0.09682118040669702,1.0,0.4919245998150847,0.019198994787973784,0.9362536929926781,0.36363636363636365,0.8035100106112008,False,,,,grid
1376,hex,1.0,0.25,5.0,0,Γ,0.0,0.0,0.0,42.27655946993801,0.0,42.27655946993801,84.55311893987601,1787.3074806152051,0.12021860908397962,-0.24043721816795907,0.268816982072252,0.021750296396436466,0.5326866416743414,0.1,0.1,1.0,0.5,0.01450019759762431,0.932607393112199,0.36363636363636365,0.8035086960995116,False,,,,grid
1400,hex,1.0,0.25,5.0,0,Γ,0.0,0.0,0.0,42.27655946993801,0.0,42.27655946993801,84.55311893987601,1787.3074806152051,0.12021860908397962,-0.24043721816795907,0.268816982072252,0.021750296396436466,0.5326866416743414,0.1,0.1,1.0,0.5,0.01450019759762431,0.932607393112199,0.36363636363636365,0.8035086960995116,False,,,,grid
1458,hex,1.0,0.25,7.0,2,K,0.3333333333333333,0.3333333333333333,0.4275699750107779,0.6946526178118987,0.0,0.6946526178118987,1.3893052356237974,0.4825422594329238,-0.13869976127379935,0.0,0.13869976127379935,0.16968019690391223,0.04679009042787774,0.07644938509133492,0.04679009042787774,1.0,0.318755103232715,0.11312013126927482,0.9811254771913617,0.5454545454545454,0.8032731369075018,False,,,,grid
1385,hex,1.0,0.25,5.0,1,M,0.5,0.0,0.3379863792089338,9.146208666917945,0.0,9.146208666917945,18.29241733383589,83.65313297880492,-0.04692341939940725,-0.04692341939940742,0.06635973610756264,0.04676214725099622,0.15232002504839198,0.06878855771088865,0.06878855771088865,1.0,0.40754277804016725,0.03117476483399748,0.9956156922253578,0.36363636363636365,0.8032705115712907,False,,,,grid
1259,hex,1.0,0.2,9.0,3,M,0.5,0.0,0.390694082256537,2.155569338239865,0.0,2.155569338239865,4.31113867647973,4.646479171959849,0.022015722289209783,0.022015722289209862,0.031134933046840174,0.0963238869118289,0.14093951617123002,0.0403298393226133,0.0403298393226133,1.0,0.28739318392502705,0.06421592460788593,0.9990315547395633,0.7272727272727273,0.8032325505247154,False,,,,grid
1633,hex,1.0,0.3,5.0,1,Γ,0.0,0.0,0.5579075678121737,2.455685630962573,0.0,2.455685630962573,4.911371261925146,6.0303919181160515,-0.013350185351161958,0.026700370702323898,0.029851921957420025,0.09024613541711823,0.06147793706764615,0.5579075678121737,0.06147793706764615,1.0,0.3807203521673173,0.06016409027807882,0.999109656173992,0.36363636363636365,0.8031279162004914,False,,,,grid
1657,hex,1.0,0.3,5.0,1,Γ,0.0,0.0,0.5579075678121737,2.455685630962573,0.0,2.455685630962573,4.911371261925146,6.0303919181160515,-0.013350185351161958,0.026700370702323898,0.029851921957420025,0.09024613541711823,0.06147793706764615,0.5579075678121737,0.06147793706764615,1.0,0.3807203521673173,0.06016409027807882,0.999109656173992,0.36363636363636365,0.8031279162004914,False,,,,grid
1393,hex,1.0,0.25,5.0,1,K,0.3333333333333333,0.3333333333333333,0.4061809562387807,23.695271000531992,0.0,23.695271000531992,47.390542001063984,561.4658677886524,-0.25630967188953835,0.0,0.25630967188953835,0.029052543345167058,0.09491560488325201,0.20816824594703293,0.09491560488325201,1.0,0.48695744468537194,0.01936836223011137,0.938355092583675,0.36363636363636365,0.803067334599328,False,,,,grid
320,square,1.0,0.25,4.0,0,Γ,0.0,0.0,0.0,37.303036348020605,0.0,37.303036348020605,74.60607269604121,1391.5165207817465,-3.235789088995455e-16,0.23316317656719088,0.23316317656719088,0.023154899807395084,0.5255587434153584,0.1,0.1,1.0,0.5,0.015436599871596722,0.9484380992758144,0.2727272727272727,0.8030613784360567,False,,,,grid
344,square,1.0,0.25,4.0,0,Γ,0.0,0.0,0.0,37.303036348020605,0.0,37.303036348020605,74.60607269604121,1391.5165207817465,-3.235789088995455e-16,0.23316317656719088,0.23316317656719088,0.023154899807395084,0.5255587434153584,0.1,0.1,1.0,0.5,0.015436599871596722,0.9484380992758144,0.2727272727272727,0.8030613784360567,False,,,,grid
1775,hex,1.0,0.3,9.0,7,M,0.5,0.0,0.698910831543184,2.599915716589487,0.0,2.599915716589487,5.199831433178974,6.759561733369026,-0.008138106771578002,-0.008138106771578031,0.011509020968405954,0.08770722353144043,0.06867694440129035,0.04078810571246971,0.04078810571246971,1.0,0.2897127247082285,0.05847148235429362,0.9998675599790313,0.7272727272727273,0.8030437936531839,False,,,,grid
1384,hex,1.0,0.25,5.0,0,M,0.5,0.0,0.26919782149804516,8.75440399373608,0.0,8.75440399373608,17.50880798747216,76.63958928554223,0.05489458747087339,0.05489458747087359,0.07763267010218547,0.04779711741762018,0.06878855771088865,0.1,0.06878855771088865,1.0,0.40754277804016725,0.03186474494508012,0.9940092736309973,0.36363636363636365,0.802972403939363,False,,,,grid
