candidate_id,lattice_type,theta_deg,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,G_magnitude,moire_length,S_flat,S_gap,S_parab,S_vg,S_contrast,S_total,valid_ea_flag
95,square,1.0,1.0,0.35,9.0,7,M,0.5,0.5,0.6499009693951315,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.1,0.03167992790025076,0.03167992790025076,0.1096622711232151,57.296506740065155,0.3333333333333333,0.2405828162683132,0.8597387523761344,1.0,0.7272727272727273,0.5351237575726082,False
47,square,1.0,1.0,0.25,9.0,7,M,0.5,0.5,0.5803283124281362,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.1,0.03150529245640832,0.03150529245640832,0.1096622711232151,57.296506740065155,0.3333333333333333,0.23957433094832867,0.8597387523761344,1.0,0.7272727272727273,0.5348716362426121,False
29,square,1.0,1.0,0.25,9.0,5,Γ,0.0,0.0,0.5167634159556491,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.03138367116238827,0.11980835220889796,0.03138367116238827,0.1096622711232151,57.296506740065155,0.3333333333333333,0.23887040820771796,0.8597387523761344,1.0,0.7272727272727273,0.5346956555574595,False
30,square,1.0,1.0,0.25,9.0,6,Γ,0.0,0.0,0.5481470871180374,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.04769461351015114,0.03138367116238827,0.03138367116238827,0.1096622711232151,57.296506740065155,0.3333333333333333,0.23887040820771796,0.8597387523761344,1.0,0.7272727272727273,0.5346956555574595,False
496,hex,2.5,1.0,0.25,6.0,0,K,0.3333333333333333,0.3333333333333333,0.1824003501919604,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.19319823000976952,0.1,0.1,0.15827129842611806,22.920129957497124,0.3333333333333333,0.5,0.595691733724022,1.0,0.45454545454545453,0.5335322861387437,False
480,hex,2.5,1.0,0.25,6.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.4872541466649291,0.1,0.1,0.15827129842611806,22.920129957497124,0.3333333333333333,0.5,0.595691733724022,1.0,0.45454545454545453,0.5335322861387437,False
487,hex,2.5,1.0,0.25,6.0,7,Γ,0.0,0.0,0.880935771000239,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.1,0.24291588872968695,0.1,0.15827129842611806,22.920129957497124,0.3333333333333333,0.5,0.595691733724022,1.0,0.45454545454545453,0.5335322861387437,False
535,hex,2.5,1.0,0.35,6.0,7,Γ,0.0,0.0,0.9585503870732662,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.1,0.2244232201710964,0.1,0.15827129842611806,22.920129957497124,0.3333333333333333,0.5,0.595691733724022,1.0,0.45454545454545453,0.5335322861387437,False
528,hex,2.5,1.0,0.35,6.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.5613142280949889,0.1,0.1,0.15827129842611806,22.920129957497124,0.3333333333333333,0.5,0.595691733724022,1.0,0.45454545454545453,0.5335322861387437,False
544,hex,2.5,1.0,0.35,6.0,0,K,0.3333333333333333,0.3333333333333333,0.2119070496158142,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.2540090403314431,0.1,0.1,0.15827129842611806,22.920129957497124,0.3333333333333333,0.5,0.595691733724022,1.0,0.45454545454545453,0.5335322861387437,False
