candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_contrast,S_total,valid_ea_flag
3552,hex,1.0,0.48,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.8228550576621526,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
3064,hex,1.0,0.4,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.5563999857491396,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
1504,square,1.0,0.45,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.47359331796417,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
2016,hex,1.0,0.2,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.38937812639677233,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
1528,square,1.0,0.45,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.47359331796417,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
3040,hex,1.0,0.4,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.5563999857491396,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
3576,hex,1.0,0.48,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.8228550576621526,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
1272,square,1.0,0.4,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.42110368727887426,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
1248,square,1.0,0.4,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.42110368727887426,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
736,square,1.0,0.3,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.3674870788780243,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
760,square,1.0,0.3,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.3674870788780243,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
3320,hex,1.0,0.45,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.729213913055788,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
