candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,k_parab_far,parab_error_near,parab_error_far,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_linear,S_sym,S_total,valid_ea_flag,candidate_source
1546,hex,1.0,0.3,2.0,2,M,0.5,0.0,0.7759657324414042,13.427171896346463,0.0,13.427171896346463,26.854343792692926,180.28894513403628,-0.18099848334323984,-0.1809984833432405,0.255970509912971,0.03859426045807009,0.04363389981249824,1.2626937785220282,0.9084668953669793,0.022022360141296327,0.28923656117489144,0.022022360141296327,1.0,0.15506262619059807,0.8737306221477972,0.0883932400693553,0.08898664820534091,0.38544623200762207,1.597142360569287,False,grid
815,square,1.0,0.35,3.0,7,X,0.5,0.0,1.00232784745547,15.800463131483541,0.0,15.800463131483541,31.600926262967082,249.65463516937066,-0.19540607549060504,-0.19540607549060532,0.2763459221289147,0.03557788192050394,0.049999999999999996,0.9893688500876668,0.5909126640282535,0.24004242508369167,0.010897144276306392,0.010897144276306392,1.0,0.08324967161471435,0.9010631149912334,0.09999999999999999,0.07732543996398439,0.5053438286794878,1.5971196897011208,False,grid
266,square,1.0,0.25,2.0,2,X,0.5,0.0,0.8204080761503878,29.258484061112913,0.0,29.258484061112913,58.516968122225826,856.0588895543984,-0.2541600727941051,-0.25416007279410546,0.35943662195915677,0.02614502656678516,0.049999999999999996,0.6949370917870783,0.4581583856172343,1.1037910678801666e-06,0.42399823428533523,1.1037910678801666e-06,1.0,9.198174291812854e-06,0.9305062908212922,0.09999999999999999,0.047199490085505655,0.674337224933814,1.5960998758899954,False,grid
42,square,1.0,0.2,3.0,2,X,0.5,0.0,0.6626005419192147,16.08015874919585,0.0,16.08015874919585,32.1603174983917,258.5715053993398,-0.18588824684508287,-0.18588824684508312,0.26288567977407407,0.03526710670676662,0.049999999999999996,0.9248080183505845,0.41207763419296584,0.006462275595593425,0.338979117084505,0.006462275595593425,1.0,0.051100421569660597,0.9075191981649415,0.09999999999999999,0.08475824229651967,0.5390051419127572,1.5908037818857201,False,grid
874,square,1.0,0.35,5.0,2,X,0.5,0.0,0.6083453531467575,12.547955581118062,0.0,12.547955581118062,25.095911162236124,157.45118926571192,-0.14878514137234733,-0.14878514137234752,0.21041396480837202,0.039923491141571656,0.049999999999999996,0.9485857064794618,0.5073416463706366,0.0034928200742198046,0.26745924355795875,0.0034928200742198046,1.0,0.028283588245216217,0.9051414293520538,0.09999999999999999,0.12629741838486813,0.5263670846283806,1.5902837757630848,False,grid
684,square,1.0,0.3,7.0,4,X,0.5,0.0,0.5175144288291332,0.2829279336486558,0.0,0.2829279336486558,0.5658558672973116,0.08004821563869818,-0.043452457415587,-0.043452457415587065,0.06145105459556255,0.2658747435213563,0.2658747435213563,10.863114353896751,11.599339713245858,0.10289566671774608,0.025613111199531524,0.025613111199531524,0.5658558672973116,0.17589838571908714,0.8,0.3713984128194412,0.6289164722511124,0.007377640987780427,1.5871365382794769,False,grid
814,square,1.0,0.35,3.0,6,X,0.5,0.0,0.9914307031791636,15.641867304465892,0.0,15.641867304465892,31.283734608931784,244.66801277051908,0.1990103819507727,0.19901038195077297,0.28144318120783274,0.03575779244360971,0.049999999999999996,1.0178343957384373,0.6152811250402154,0.010897144276306392,0.1614610267546489,0.010897144276306392,1.0,0.08324967161471435,0.8982165604261563,0.09999999999999999,0.07475739102301318,0.4911623061264167,1.5852753874622165,False,grid
554,square,1.0,0.3,3.0,2,X,0.5,0.0,0.7064937686772114,19.50754108844849,0.0,19.50754108844849,39.01508217689698,380.5441593175061,-0.20231396764214704,-0.20231396764214732,0.28611515689703604,0.03201944004077921,0.049999999999999996,0.8296851631882951,0.4412871824934261,0.0025631200569122825,0.3399667106889894,0.0025631200569122825,1.0,0.020912653461515142,0.9170314836811705,0.09999999999999999,0.07251148266969676,0.5922846151170457,1.584048041670178,False,grid
10,square,1.0,0.2,2.0,2,X,0.5,0.0,0.8049359947415146,23.27445253571236,0.0,23.27445253571236,46.54890507142472,541.7001408371275,-0.24302312428897907,-0.24302312428897943,0.3436865983397568,0.029314011960092423,0.049999999999999996,0.8353300647259785,0.35290338090463497,0.004717596913653255,0.42337757920398944,0.004717596913653255,1.0,0.037826233269387215,0.9164669935274021,0.09999999999999999,0.051397168634803155,0.5890057423738474,1.5835401840158077,False,grid
1242,hex,1.0,0.2,8.0,2,Γ,0.0,0.0,0.43174379337069696,0.17750639873910362,0.0,0.17750639873910362,0.35501279747820724,0.03150852159332565,-0.004099642436801169,0.008199284873602332,0.009167079172130294,0.3356664931131585,0.3356664931131585,0.8475100471518713,4.0328876952612225,0.00010215431239457562,0.018871987843580962,0.00010215431239457562,0.35501279747820724,0.0008505618652673349,0.8,0.42723788790215456,0.9870396541452222,0.057923389168330314,1.5833635938694692,True,grid
