lattice_type,a1x,a1y,a2x,a2y,hole_radius_a,eps_bg,polarization,band_index,k_index,k_label,s_value,frequency,extremum_type,curvature_a,linear_b,quad_residual,gap_below,gap_above,kx_frac,ky_frac,mode,plot_file
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,4,19,b1/2,0.50000000,0.44666857,max,-0.24639195,0.00713906,1.58369833e-08,0.06669711,0.02831114,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,4,38,b2/2,1.20710678,0.44666891,max,-0.24640119,-0.00713930,1.58384294e-08,0.06669743,0.02831029,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,4,57,Γ,1.70710678,0.39795282,min,1.18681554,-0.01243442,3.01271110e-09,0.02918800,0.08924036,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,5,19,b1/2,0.50000000,0.47497970,min,0.40902114,-0.01448170,6.72656118e-08,0.02831114,0.06631323,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,5,38,b2/2,1.20710678,0.47497920,min,0.40903360,0.01448196,6.72672843e-08,0.02831029,0.06631363,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,7,0,Γ,0.00000000,0.57319718,max,-0.22677421,-0.00683544,9.96301682e-10,0.06618577,0.00000000,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,7,57,Γ,1.70710678,0.57319714,max,-0.22677814,0.00683381,9.96525926e-10,0.06618573,0.00000000,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,12.50000000,TM,0,19,b1/2,0.50000000,0.14817750,max,-1.36822899,0.06578558,1.13268190e-06,0.00000000,0.02351232,,,path,bands_r0.265_eps12.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,12.50000000,TM,0,38,b2/2,1.20710678,0.14817748,max,-1.36822726,-0.06578552,1.13267819e-06,0.00000000,0.02351240,,,path,bands_r0.265_eps12.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,12.50000000,TM,1,19,b1/2,0.50000000,0.17168983,min,1.51606957,-0.05317856,8.01902932e-07,0.02351232,0.14642293,,,path,bands_r0.265_eps12.50.png
