i,j,Rx,Ry,delta_x,delta_y
4,44,-35.8400122678804,2.9115920243529,0.43257625777041486,0.1336901423365262
4,48,-39.09535429223317,2.8803420243529123,0.49507337820597286,0.8787980753157996
4,52,-42.35069631658593,2.8490920243529247,0.5575704986415304,0.62390600829508
4,56,-45.606038340938696,2.8178420243529367,0.6200676190770884,0.3690139412743605
4,60,-48.86138036529146,2.786592024352949,0.6825647395126464,0.11412187425364095
8,0,-0.06249999999997541,6.51068404870553,0.49021586595856004,0.8750057591288846
8,4,-3.3178420243527404,6.479434048705542,0.5527129863941171,0.620113692108164
8,8,-6.573184048705505,6.448184048705555,0.6152101068296751,0.36522162508744493
8,12,-9.82852607305827,6.416934048705567,0.6777072272652331,0.11032955806672362
8,16,-13.083868097411035,6.385684048705579,0.7402043477007902,0.8554374910460041
8,20,-16.3392101217638,6.354434048705591,0.8027014681363491,0.6005454240252845
8,24,-19.594552146116566,6.3231840487056035,0.8651985885719062,0.34565335700456146
8,28,-22.84989417046933,6.291934048705616,0.9276957090074633,0.09076128998384192
8,32,-26.105236194822094,6.260684048705628,0.9901928294430213,0.8358692229631224
8,36,-29.360578219174858,6.22943404870564,0.05268994987858022,0.5809771559424028
8,40,-32.615920243527626,6.198184048705652,0.11518707031413644,0.32608508892167976
8,44,-35.87126226788039,6.166934048705665,0.17768419074969533,0.07119302190096022
8,48,-39.12660429223316,6.135684048705677,0.24018131118525243,0.8163009548802407
8,52,-42.381946316585925,6.10443404870569,0.30267843162080954,0.561408887859514
8,56,-45.63728834093869,6.073184048705702,0.36517555205636754,0.3065168208387945
8,60,-48.89263036529145,6.0419340487057145,0.42767267249192553,0.051624753818074964
12,0,-0.09374999999996311,9.766026073058296,0.2353237989378396,0.8125086386933268
12,4,-3.349092024352728,9.734776073058308,0.2978209193733967,0.5576165716726065
12,8,-6.604434048705492,9.70352607305832,0.36031803980895205,0.30272450465188694
12,12,-9.859776073058258,9.672276073058333,0.4228151602445127,0.04783243763116651
12,16,-13.115118097411022,9.641026073058345,0.4853122806800698,0.7929403706104452
12,20,-16.370460121763788,9.609776073058358,0.5478094011156251,0.5380483035897257
12,24,-19.625802146116555,9.57852607305837,0.610306521551184,0.2831562365690026
12,28,-22.88114417046932,9.54727607305838,0.6728036419867447,0.028264169548283036
12,32,-26.136486194822083,9.516026073058393,0.7353007624223,0.7733721025275635
12,36,-29.391828219174847,9.484776073058406,0.7977978828578589,0.5184800355068475
12,40,-32.64717024352761,9.453526073058418,0.860295003293416,0.26358796848612087
12,44,-35.902512267880375,9.42227607305843,0.9227921237289731,0.00869590146540844
12,48,-39.15785429223315,9.391026073058443,0.985289244164532,0.7538038344446818
12,52,-42.41319631658591,9.359776073058455,0.047786364600089115,0.49891176742395515
12,56,-45.668538340938674,9.328526073058468,0.11028348503564622,0.24401970040324272
12,60,-48.92388036529144,9.29727607305848,0.1727806054712051,0.9891276333825232
16,0,-0.12499999999995082,13.02136809741106,0.9804317319171201,0.7500115182577691
16,4,-3.3803420243527156,12.990118097411072,0.04292885235267718,0.49511945123704937
16,8,-6.635684048705481,12.958868097411084,0.10542597278823429,0.24022738421632805
