candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_total,valid_ea_flag,candidate_source,optimization_k_label,optimization_strategy,optimization_lattice
1685,hex,1.0,0.3,6.0,5,K,0.3333333333333333,0.3333333333333333,0.749426156665491,11.053469616567352,0.0,11.053469616567352,22.106939233134703,122.17919056437759,0.15354035655037443,-0.0,0.15354035655037443,0.04253688537487285,0.028278025617797797,0.09487098591484389,0.028278025617797797,1.0,0.22044325582350086,1.0,0.10836404669143414,2.1681188136981002,False,grid,,,
1555,hex,1.0,0.3,2.0,3,K,0.3333333333333333,0.3333333333333333,0.811775508519579,35.335225669064215,0.0,35.335225669064215,70.67045133812843,1248.5781730836945,0.35187026049151326,-0.0,0.35187026049151326,0.023790910499083405,0.25194790177022264,0.02124166788460169,0.02124166788460169,1.0,0.1752010530308738,1.0,0.0636476431899265,2.167330114761421,False,grid,,,
1493,hex,1.0,0.25,8.0,5,K,0.3333333333333333,0.3333333333333333,0.6100372624746213,7.765684031121359,0.0,7.765684031121359,15.531368062242718,60.30584847121328,0.11195674266482482,-0.0,0.11195674266482482,0.05074872549043008,0.031239231831722614,0.07189260664202934,0.031239231831722614,1.0,0.2380327238716098,1.0,0.12663477701226517,2.167096920289017,False,grid,,,
701,square,1.0,0.3,7.0,5,Γ,0.0,0.0,0.6305371608566372,2.858165649822441,0.0,2.858165649822441,5.716331299644882,8.169110881824935,5.0385161133086604e-17,-0.03630633486463535,0.03630633486463535,0.0836510314021826,0.043663776734756854,0.1573386959300897,0.043663776734756854,1.0,0.30393031373087376,1.0,0.19289941760706159,2.1665463441857185,False,grid,,,
677,square,1.0,0.3,7.0,5,Γ,0.0,0.0,0.6305371608566372,2.858165649822441,0.0,2.858165649822441,5.716331299644882,8.169110881824935,5.0385161133086604e-17,-0.03630633486463535,0.03630633486463535,0.0836510314021826,0.043663776734756854,0.1573386959300897,0.043663776734756854,1.0,0.30393031373087376,1.0,0.19289941760706159,2.1665463441857185,False,grid,,,
1618,hex,1.0,0.3,4.0,2,K,0.3333333333333333,0.3333333333333333,0.5948575676045269,2.2413357455399714,0.0,2.2413357455399714,4.482671491079943,5.02358592423522,-0.21965669964441917,0.0,0.21965669964441917,0.09446295761181563,0.04762147096390945,0.1139024012275544,0.04762147096390945,1.0,0.3225917656351762,1.0,0.21253280165209526,2.1650884459746216,False,grid,,,
1418,hex,1.0,0.25,6.0,2,M,0.5,0.0,0.4498775904991893,1.6630288954343848,0.0,1.6630288954343848,3.3260577908687696,2.76566510704971,-0.03210976309255986,-0.03210976309255997,0.04541006245008529,0.10966425692140482,0.0531645906172431,0.1349301838156684,0.0531645906172431,1.0,0.3471075814781559,1.0,0.23857468852566374,2.162799339428738,False,grid,,,
8,square,1.0,0.2,2.0,0,X,0.5,0.0,0.35594042417826205,14.547037688727766,0.0,14.547037688727766,29.094075377455532,211.61630551726606,0.20201664747748424,0.20201664747748452,0.2856946826878029,0.037078974632188254,0.025617992988758942,0.1,0.025617992988758942,1.0,0.2039356972615491,1.0,0.09579175584884607,2.1622159121190547,False,grid,,,
429,square,1.0,0.25,7.0,5,X,0.5,0.0,0.5681299403287113,2.040950005186561,0.0,2.040950005186561,4.081900010373122,4.165476923671023,0.01706665716604938,0.017066657166049406,0.024135898028599025,0.09899170731500237,0.04894671609484236,0.09438656170894899,0.04894671609484236,1.0,0.3286189677634474,1.0,0.22047558051122765,2.1622150808783296,False,grid,,,
104,square,1.0,0.2,5.0,0,X,0.5,0.0,0.2263494869344844,5.5479031317351994,0.0,5.5479031317351994,11.095806263470399,30.779229159117232,0.08366575744842841,0.08366575744842852,0.11832124888978533,0.060041365827632635,0.03395607443227219,0.1,0.03395607443227219,1.0,0.25348663415364775,1.0,0.14642758226708272,2.1605885778298477,False,grid,,,
1130,hex,1.0,0.2,5.0,2,M,0.5,0.0,0.46697310967494426,2.535663185572671,0.0,2.535663185572671,5.071326371145342,6.4295877906685455,-0.04298616496974217,-0.04298616496974232,0.06079161749461673,0.08881150203406354,0.04468463031692799,0.1590713746178109,0.04468463031692799,1.0,0.3088415833737657,1.0,0.2023910075793077,2.159675863691687,False,grid,,,
791,square,1.0,0.35,2.0,7,M,0.5,0.5,1.223159975458764,15.736027296321543,0.0,15.736027296321543,31.472054592643087,247.6225550705767,-0.13755191980048476,-3.05426616887782e-16,0.13755191980048476,0.03565064960397232,0.07796074836318145,0.0247717554451532,0.0247717554451532,1.0,0.19853656267617628,1.0,0.0924428615395365,2.1591405517049598,False,grid,,,
525,square,1.0,0.3,2.0,5,X,0.5,0.0,0.9069456112365096,18.04140510269542,0.0,18.04140510269542,36.08281020539084,325.49229807956436,0.17456046696696867,0.17456046696696892,0.24686577983886793,0.03329506129005151,0.2298239823116749,0.023881735457725317,0.023881735457725317,1.0,0.19277850257332702,1.0,0.08686535427299985,2.1588697224504907,False,grid,,,
989,square,1.0,0.35,8.0,5,Γ,0.0,0.0,0.6731331859618925,4.316221826701283,0.0,4.316221826701283,8.632443653402566,18.62977085729256,7.655457254488772e-17,-0.05516338310186616,0.05516338310186616,0.06807115499360228,0.03673168946618366,0.16557111882725073,0.03673168946618366,1.0,0.26864064658009,1.0,0.16282193636306713,2.1587280653255343,False,grid,,,
965,square,1.0,0.35,8.0,5,Γ,0.0,0.0,0.6731331859618925,4.316221826701283,0.0,4.316221826701283,8.632443653402566,18.62977085729256,7.655457254488772e-17,-0.05516338310186616,0.05516338310186616,0.06807115499360228,0.03673168946618366,0.16557111882725073,0.03673168946618366,1.0,0.26864064658009,1.0,0.16282193636306713,2.1587280653255343,False,grid,,,
1583,hex,1.0,0.3,3.0,7,M,0.5,0.0,1.052353840821781,18.98845004945611,0.0,18.98845004945611,37.97690009891222,360.5612352806897,-0.07259750304722479,-0.07259750304722505,0.10266837340380758,0.0324541500369774,0.12555150510737811,0.023528411372270908,0.023528411372270908,1.0,0.1904696345633767,1.0,0.08485762289110889,2.158418017508402,False,grid,,,
137,square,1.0,0.2,6.0,1,X,0.5,0.0,0.2401746641394146,5.592480262912957,0.0,5.592480262912957,11.184960525825915,31.27583549107098,-0.06154180466428571,-0.0615418046642858,0.08703325480914871,0.059801595050331155,0.23292165834038778,0.0333974422860365,0.0333974422860365,1.0,0.2503604395534382,1.0,0.14592816566022987,2.1566484108398125,False,grid,,,
1706,hex,1.0,0.3,7.0,2,M,0.5,0.0,0.45445492283700195,1.2338506009843508,0.0,1.2338506009843508,2.4677012019687017,1.5223873055494437,-0.026275282667556632,-0.026275282667556726,0.03715886110364537,0.12731621218760533,0.05899685632292395,0.11748619649411823,0.05899685632292395,1.0,0.3710567472044909,1.0,0.26673347549645915,2.1564849075620476,False,grid,,,
1843,hex,1.0,0.35,3.0,3,K,0.3333333333333333,0.3333333333333333,0.7476964091257756,29.70434419079249,0.0,29.70434419079249,59.40868838158498,882.3480638050676,0.2739546890013276,-0.0,0.2739546890013276,0.025948067175201907,0.2058684301759024,0.020967006610812966,0.020967006610812966,1.0,0.17332830825739198,1.0,0.06902034999187644,2.1564619373982734,False,grid,,,
1044,hex,1.0,0.2,2.0,4,K,0.3333333333333333,0.3333333333333333,1.0149365861634319,42.12745829008801,0.0,42.12745829008801,84.25491658017602,1774.7227419831047,0.055883244319856425,-0.0,0.055883244319856425,0.021788752673890525,0.019447510349591468,0.2456568200577821,0.019447510349591468,1.0,0.1628121866472873,1.0,0.058605195873158204,2.1563104861611935,False,grid,,,
631,square,1.0,0.3,5.0,7,M,0.5,0.5,0.8027594964824522,2.917312160048273,0.0,2.917312160048273,5.834624320096546,8.510710239165522,-0.03414195142422913,-7.58103611536256e-17,0.03414195142422913,0.08279870545371536,0.07982258538994169,0.04187996274733352,0.04187996274733352,1.0,0.2951788394666787,1.0,0.19130996560379054,2.155803310794332,False,grid,,,
1068,hex,1.0,0.2,3.0,4,M,0.5,0.0,0.9138283175737263,21.920316490953397,0.0,21.920316490953397,43.84063298190679,480.50027506356344,0.05679180823936591,0.056791808239366116,0.0803157454438035,0.030205886604115093,0.02214709547890581,0.2743641302342229,0.02214709547890581,1.0,0.1813149579371742,1.0,0.07944613081587192,2.1528032406819535,False,grid,,,
1106,hex,1.0,0.2,4.0,2,K,0.3333333333333333,0.3333333333333333,0.531393930519558,3.075735376516573,0.0,3.075735376516573,6.151470753033146,9.460148106355545,-0.21714772040685817,0.0,0.21714772040685817,0.08063814225272015,0.04055608748414408,0.11028409362717101,0.04055608748414408,1.0,0.28854024190677013,1.0,0.187252670724642,2.151931356773192,False,grid,,,
2031,hex,1.0,0.35,9.0,7,M,0.5,0.0,0.7730238831216935,2.2584613984216726,0.0,2.2584613984216726,4.516922796843345,5.100647888160777,-0.0041408321963276595,-0.004140832196327674,0.005856021051557757,0.094104125202718,0.05131145410420712,0.045584388069518034,0.045584388069518034,1.0,0.31311316188485144,1.0,0.21189653475919137,2.15182494068849,False,grid,,,
