lattice,r,eps_bg,k_label,band_index,pol,J,f0,min_gap_center,min_gap_neigh,R2_min,grad_max_abs,H11,H12,H22,lam_min,lam_max,extremum_type
square,0.42,4.642857142857142,M,0,TM,0.20217974197149574,0.3511415889213235,0.06789047235262097,0.07125540187641738,0.9738230224809407,2.009448607509512e-09,-1.172231504488651,0.31370826677558616,-0.9057107529461002,-1.3798101000719494,-0.698132157362802,max
square,0.42,5.714285714285714,M,0,TM,0.19508726400415174,0.3175503068966542,0.06540822554628395,0.0685141553337626,0.9758964715672047,7.311897198825079e-10,-1.0364459040573746,0.2727906535789272,-0.7997172357508977,-1.2154447422701131,-0.6207183975381592,max
square,0.42,2.5,M,0,TM,0.1922410328549007,0.4712871315860213,0.06522637744490434,0.06902187201531829,0.9620666658036784,6.048248513135235e-09,-1.7157417883975998,0.495198949901402,-1.3426774748525412,-2.0583752441639644,-1.0000440190861766,max
square,0.42,7.857142857142857,Γ,5,TM,0.1893343855618166,0.6978132410349511,0.09489483278362087,0.031910686589395554,0.9961698622967384,4.880515325211832e-09,-0.2745126052743762,0.04865423006016861,-0.47485954594550517,-0.48605015537454893,-0.26332199584533245,max
square,0.42,6.785714285714286,M,0,TM,0.18721369366084561,0.2920518666609284,0.06271016165025411,0.06559914351812735,0.9772150938180614,8.428619469036391e-10,-0.9379347535921255,0.2440903304496186,-0.7232764908104,-1.0972507644111316,-0.5639604799913941,max
square,0.42,6.785714285714286,Γ,5,TM,0.18598402345446888,0.746672762385392,0.10192176338124603,0.02271723624414468,0.9956545609737806,5.283343207374003e-09,-0.3287598878068244,0.058782573465654464,-0.5970435770577592,-0.6093579560035969,-0.3164455088609867,max
square,0.42,8.928571428571429,Γ,5,TM,0.18126690774429435,0.6573369992168421,0.08875038168800464,0.032605613129722766,0.9964871291101808,9.472818085498602e-09,-0.23727157261975526,0.04254169164197075,-0.39447613336139015,-0.4052501026727624,-0.22649760330838298,max
square,0.42,7.857142857142857,M,0,TM,0.17956990237586398,0.2718463089446401,0.06011273912339271,0.0628205978310955,0.9781238475446521,3.7277536613089524e-10,-0.8625199437756984,0.22264440158415466,-0.6649480633656045,-1.0073098470752186,-0.5201581600660843,max
square,0.3,2.5,M,3,TM,0.17916212780413476,0.5836777103424714,0.11160366593983967,0.01326686769601848,0.9636348268387613,3.5170534706807643e-08,1.4982897601082381,-0.5465386770137766,1.6641582034044258,1.028428711703897,2.1340192518087666,min
square,0.42,8.928571428571429,M,0,TM,0.17246173700509723,0.2553250264870249,0.05770806809794843,0.060263102326735596,0.9787865823850375,1.1845279201949666e-09,-0.80250334489391,0.2058851580502099,-0.6186170781455049,-0.9360424460306025,-0.4850779770088123,max
square,0.42,5.714285714285714,Γ,5,TM,0.1718773040715285,0.8071717646261135,0.1090853269596751,0.0064269698520567076,0.9933048261733839,9.632296849027e-09,-0.41414923279807203,0.07954078378568075,-0.7927608178671848,-0.8087923560164982,-0.39811769464875857,max
square,0.42,10.0,M,0,TM,0.16595223986748867,0.2414896767781592,0.055511947940805384,0.057936344674681256,0.9792905854380815,1.9520508542925086e-09,-0.753326186852775,0.19234608819808358,-0.5806972871454666,-0.8778367874524384,-0.4561866865458032,max
square,0.42,10.0,Γ,5,TM,0.16320652546093337,0.62311692404633,0.08349183358343149,0.025745006915350754,0.9966995787907992,1.2441977226274048e-08,-0.2101944848157848,0.03828958708978325,-0.33862398132353455,-0.349173036964423,-0.19964542917489636,max
square,0.24,2.5,M,3,TM,0.14082135867413662,0.5357061107767033,0.07751389054820224,0.020135219336709698,0.9677373104033089,3.6539791969936175e-08,1.5678760481701377,-0.5397599428626179,1.7243241158450164,1.1007013330276612,2.191498830987493,min
